cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.1	6	50	500	51196000
-1	6	50	400	51250000
-0.5	6	50	400	51250000
-0.3	6	50	400	51250000
-0.1	6	50	400	51250000
-1	6	50	300	52214000
-0.5	6	50	300	52214000
-0.3	6	50	300	52214000
-0.1	6	50	300	52214000
-1	6	50	200	50500000
-0.5	6	50	200	50500000
-0.3	6	50	200	50500000
-0.1	6	50	200	50500000
-1	6	50	50	50806000
-0.5	6	50	50	50806000
-0.3	6	50	50	50806000
-0.1	6	50	50	50806000
-1	6	50	25	49784000
-0.5	6	50	25	49784000
-0.3	6	50	25	49784000
-0.1	6	50	25	49784000
-1	6	50	10	50796000
-0.5	6	50	10	50796000
-0.3	6	50	10	50796000
-0.1	6	50	10	50796000
-1	6	50	5	51246000
-0.5	6	50	5	51246000
-0.3	6	50	5	51246000
-0.1	6	50	5	51246000
-1	6	20	500	51196000
-0.5	6	20	500	51196000
-0.3	6	20	500	51196000
-0.1	6	20	500	51196000
-1	6	20	400	51250000
-0.5	6	20	400	51250000
-0.3	6	20	400	51250000
-0.1	6	20	400	51250000
-1	6	20	300	52214000
-0.5	6	20	300	52214000
-0.3	6	20	300	52214000
-0.1	6	20	300	52214000
-1	6	20	200	50500000
-0.5	6	20	200	50500000
-0.3	6	20	200	50500000
-0.1	6	20	200	50500000
-1	6	20	50	50806000
-0.5	6	20	50	50806000
-0.3	6	20	50	50806000
-0.1	6	20	50	50806000
-1	6	20	25	49784000
-0.5	6	20	25	49784000
-0.3	6	20	25	49784000
-0.1	6	20	25	49784000
-1	6	20	10	50796000
-0.5	6	20	10	50796000
-0.3	6	20	10	50796000
-0.1	6	20	10	50796000
-1	6	20	5	51272000
-0.5	6	20	5	51272000
-0.3	6	20	5	51272000
-0.1	6	20	5	51272000
-1	6	10	500	51196000
-0.5	6	10	500	51196000
-0.3	6	10	500	51196000
-0.1	6	10	500	51196000
-1	6	10	400	51250000
-0.5	6	10	400	51250000
-0.3	6	10	400	51250000
-0.1	6	10	400	51250000
-1	6	10	300	52214000
-0.5	6	10	300	52214000
-0.3	6	10	300	52214000
-0.1	6	10	300	52214000
-1	6	10	200	50500000
-0.5	6	10	200	50500000
-0.3	6	10	200	50500000
-0.1	6	10	200	50500000
-1	6	10	50	50806000
-0.5	6	10	50	50806000
-0.3	6	10	50	50806000
-0.1	6	10	50	50806000
-1	6	10	25	49784000
-0.5	6	10	25	49784000
-0.3	6	10	25	49784000
-0.1	6	10	25	49784000
-1	6	10	10	50796000
-0.5	6	10	10	50796000
-0.3	6	10	10	50796000
-0.1	6	10	10	50796000
-1	6	10	5	50694000
-0.5	6	10	5	50694000
-0.3	6	10	5	50694000
-0.1	6	10	5	50694000
-1	8	1000	500	51936000
-0.5	8	1000	500	51936000
-0.3	8	1000	500	51936000
-0.1	8	1000	500	51936000
-1	8	1000	400	52522000
-0.5	8	1000	400	52522000
-0.3	8	1000	400	52522000
-0.1	8	1000	400	52522000
-1	8	1000	300	53278000
-0.5	8	1000	300	53278000
-0.3	8	1000	300	53278000
-0.1	8	1000	300	53278000
-1	8	1000	200	51468000
-0.5	8	1000	200	51468000
-0.3	8	1000	200	51468000
-0.1	8	1000	200	51468000
-1	8	1000	50	51120000
-0.5	8	1000	50	51120000
-0.3	8	1000	50	51120000
-0.1	8	1000	50	51120000
-1	8	1000	25	50776000
-0.5	8	1000	25	50776000
-0.3	8	1000	25	50776000
-0.1	8	1000	25	50776000
-1	8	1000	10	50330000
-0.5	8	1000	10	50330000
-0.3	8	1000	10	50330000
-0.1	8	1000	10	50330000
-1	8	1000	5	50024000
-0.5	8	1000	5	50024000
-0.3	8	1000	5	50024000
-0.1	8	1000	5	50024000
-1	8	800	500	51936000
-0.5	8	800	500	51936000
-0.3	8	800	500	51936000
-0.1	8	800	500	51936000
-1	8	800	400	51544000
-0.5	8	800	400	51544000
-0.3	8	800	400	51544000
-0.1	8	800	400	51544000
-1	8	800	300	52140000
-0.5	8	800	300	52140000
-0.3	8	800	300	52140000
-0.1	8	800	300	52140000
-1	8	800	200	50502000
-0.5	8	800	200	50502000
-0.3	8	800	200	50502000
-0.1	8	800	200	50502000
-1	8	800	50	50194000
-0.5	8	800	50	50194000
-0.3	8	800	50	50194000
